Risk_Category,Issue_Type,Ward,City,State,Date,Year,Month,Day_of_Week,Risk_Level,Area_Type,Event_Type,Season,Complaint_Count,Population_Affected,Latitude,Longitude,Complaint_adj,Log_Complaint,Complaint_Per_1000,Pop_log,Day_num,Is_Weekend,Season_num,Quarter,Week_of_Year,Is_Festival,Is_Tourist,Month_sin,Month_cos,C_x_Season,C_x_Weekend,C_x_Festival,C_x_Tourist,Pop_x_C,C_x_Month,C_x_Quarter,C_x_Lat,C_x_Year,Year_norm,Lat_x_Lon,Pop_density,Risk_Category_enc,Issue_Type_enc,Ward_enc,City_enc,State_enc,Area_Type_enc,Event_Type_enc,Risk_Level_enc
Summer Water Service Risk,Sanitation,Ward_35,Mumbai,Maharashtra,2019-06-18,2019,6,Tuesday,Low,Event Ground,Tourist,Monsoon,128.0,428919.0,19.076,72.8777,112.3,4.730039168033961,0.2618,12.969025700334084,1,0,1,2,25,0,0,1.2246467991473532e-16,-1.0,112.3,0.0,0.0,0.0,61.34399953381928,673.8,224.6,2142.2348,449.2,4,1390.2150052000002,3785.692850838482,2,2,28,9,7,1,3,2
Weekend Market Congestion Risk,Solid Waste,Ward_24,Hyderabad,Telangana,2019-02-12,2019,2,Tuesday,Medium,Residential,Public Event,Winter,237.0,428592.0,17.385,78.4867,224.2,5.416988896265536,0.5231,12.968263029643724,1,0,2,1,7,0,1,0.8660254037844386,0.5000000000000001,448.4,0.0,0.0,224.2,70.24893683543091,448.4,224.2,3897.717,896.8,4,1364.4912795,1903.16163410302,4,3,16,4,10,3,2,3
Festival Crowd Waste Risk,Traffic,Ward_15,Thiruvananthapuram,Kerala,2016-10-13,2016,10,Thursday,High,Market,Tourist,Monsoon,369.0,387057.0,8.5241,76.9366,365.3,5.903452669784769,0.9438,12.866329831583446,3,0,1,4,41,1,0,-0.8660254037844386,0.5000000000000001,365.3,0.0,365.3,0.0,75.9557691945927,3653.0,1461.2,3113.8537300000003,365.3,1,655.81527206,1056.6666666666667,0,4,6,15,5,2,3,1
Weekend Market Congestion Risk,Solid Waste,Ward_12,Panaji,Goa,2019-12-27,2019,12,Friday,High,Residential,Festival,Summer,391.0,728553.0,15.4909,73.8278,383.7,5.95246380975825,0.5267,13.498817026784488,4,0,0,4,52,1,1,-2.4492935982947064e-16,1.0,0.0,0.0,383.7,383.7,80.35121982648312,4604.4,1534.8,5943.85833,1534.8,4,1143.6590670199998,1893.821159344944,4,3,3,10,1,3,0,1
Weekend Market Congestion Risk,Solid Waste,Ward_26,Indore,Madhya Pradesh,2023-05-24,2023,5,Wednesday,Critical,Temple,Tourist,Winter,502.0,715695.0,22.7196,75.8577,499.8,6.216206819785889,0.6983,13.48101077477716,2,0,2,2,21,0,0,0.4999999999999999,-0.8660254037844387,999.6,0.0,0.0,0.0,83.80075111577682,2499.0,999.6,11355.25608,3998.4,8,1723.4566009199998,1429.1034345047924,4,3,18,5,6,4,3,0
Weekend Market Congestion Risk,Water Supply,Ward_38,Prayagraj,Uttar Pradesh,2019-08-07,2019,8,Wednesday,Medium,Event Ground,Festival,Winter,163.0,73425.0,25.4358,81.8463,163.7,5.104125637183595,2.2295,11.20403337531354,2,0,2,3,32,1,0,-0.8660254037844384,-0.5000000000000004,327.4,0.0,163.7,0.0,57.186793990798485,1309.6,491.1,4163.840459999999,654.8,4,2081.82611754,445.8105646630237,4,5,31,12,11,1,0,3
Public Event & Gathering Risk,Traffic,Ward_22,Indore,Madhya Pradesh,2023-02-06,2023,2,Monday,High,Tourist,Public Event,Summer,375.0,194580.0,22.7196,75.8577,381.4,5.946467181177246,1.9601,12.178603807790546,0,0,0,1,6,0,1,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,381.4,72.41966785558672,762.8,381.4,8665.255439999999,3051.2,8,1723.4566009199998,508.83891213389126,1,4,14,5,6,5,2,1
Public Event & Gathering Risk,Solid Waste,Ward_1,Panaji,Goa,2020-05-02,2020,5,Saturday,Low,Commercial,No_Event,Summer,51.0,99547.0,15.4909,73.8278,50.2,3.9357395320454622,0.5043,11.508395218883695,5,1,0,2,18,0,0,0.4999999999999999,-0.8660254037844387,0.0,50.2,0.0,0.0,45.29404601336356,251.0,100.4,777.64318,251.0,5,1143.6590670199998,1944.27734375,1,3,0,10,1,0,1,2
Tourist Season Sanitation Risk,Crowd Management,Ward_27,Chennai,Tamil Nadu,2024-08-06,2024,8,Tuesday,Low,Market,Festival,Monsoon,128.0,459126.0,13.0827,80.2707,133.8,4.903792198478207,0.2914,13.037082139224651,1,0,1,3,32,1,0,-0.8660254037844384,-0.5000000000000004,133.8,0.0,133.8,0.0,63.931141685249415,1070.4,401.4,1750.4652600000002,1204.2,9,1050.1574868900002,3405.9792284866467,3,0,19,2,9,2,0,2
Festival Crowd Waste Risk,Traffic,Ward_26,Thiruvananthapuram,Kerala,2022-12-02,2022,12,Friday,High,Commercial,Tourist,Summer,355.0,733209.0,8.5241,76.9366,355.8,5.877175400705855,0.4853,13.505187433698104,4,0,0,4,48,1,1,-2.4492935982947064e-16,1.0,0.0,0.0,355.8,355.8,79.37235536725233,4269.6,1423.2,3032.874780000001,2490.6,7,655.81527206,2054.9579596412555,0,4,18,15,5,0,3,1
Weekend Market Congestion Risk,Sanitation,Ward_9,Bengaluru,Karnataka,2016-06-19,2016,6,Sunday,Critical,Market,Festival,Summer,522.0,321565.0,12.9716,77.5946,498.3,6.213207117506563,1.5496,12.680958089305014,6,1,0,2,24,0,0,1.2246467991473532e-16,-1.0,0.0,498.3,0.0,0.0,78.78941905727234,2989.8,996.6,6463.748280000001,498.3,1,1006.52611336,644.0316443020229,4,2,49,1,4,2,0,0
Public Event & Gathering Risk,Sanitation,Ward_31,Panaji,Goa,2016-05-25,2016,5,Wednesday,Medium,Commercial,Festival,Winter,276.0,593372.0,15.4909,73.8278,264.7,5.582367852765768,0.4461,13.293578485298118,2,0,2,2,21,0,0,0.4999999999999999,-0.8660254037844387,529.4,0.0,0.0,0.0,74.20964518454687,1323.5,529.4,4100.441229999999,264.7,1,1143.6590670199998,2233.240496800903,1,2,24,10,1,0,0,3
Summer Water Service Risk,Water Supply,Ward_15,Pathanamthitta,Kerala,2019-01-05,2019,1,Saturday,High,Residential,Festival,Winter,409.0,720309.0,9.2648,76.787,407.3,6.01200219832553,0.5655,13.487436953885346,5,1,2,1,1,1,1,0.4999999999999999,0.8660254037844387,814.6,407.3,407.3,407.3,81.08650061653569,407.3,407.3,3773.55304,1629.2,4,711.4161976,1764.166054371785,2,5,6,11,5,3,0,1
Weekend Market Congestion Risk,Traffic,Ward_35,Jaipur,Rajasthan,2023-09-04,2023,9,Monday,Critical,Market,Public Event,Winter,473.0,223162.0,26.9124,75.7873,458.5,6.1301389417957415,2.0546,12.315657725138507,0,0,2,3,36,1,0,-1.0,-1.8369701987210294e-16,917.0,0.0,458.5,0.0,75.49669301469912,4126.5,1375.5,12339.3354,3668.0,8,2039.61813252,485.6626768226333,4,4,28,6,8,2,2,0
Tourist Season Sanitation Risk,Solid Waste,Ward_20,Panaji,Goa,2024-03-30,2024,3,Saturday,Low,Commercial,Public Event,Winter,84.0,583953.0,15.4909,73.8278,91.2,4.523960130562548,0.1562,13.277577491584784,5,1,2,1,13,1,1,1.0,6.123233995736766e-17,182.4,91.2,91.2,91.2,60.06723120238425,273.6,91.2,1412.77008,820.8000000000001,9,1143.6590670199998,6333.546637744034,3,3,12,10,1,0,2,2
Weekend Market Congestion Risk,Public Safety,Ward_34,Kochi,Kerala,2021-06-19,2021,6,Saturday,Critical,Commercial,Public Event,Summer,425.0,500863.0,9.9312,76.2673,443.4,6.096725057765475,0.8853,13.12408988613003,5,1,0,2,24,0,0,1.2246467991473532e-16,-1.0,0.0,443.4,0.0,0.0,80.0139676691354,2660.4,886.8,4403.49408,2660.4,6,757.4258097600001,1127.0544554455446,4,1,27,7,5,0,2,0
Tourist Season Sanitation Risk,Solid Waste,Ward_25,Ahmedabad,Gujarat,2019-08-28,2019,8,Wednesday,Critical,Residential,Public Event,Monsoon,535.0,631908.0,23.0225,72.5714,549.6,6.311008592708507,0.8697,13.35650067542005,2,0,1,3,35,1,0,-0.8660254037844384,-0.5000000000000004,549.6,0.0,549.6,0.0,84.29299053109291,4396.8,1648.8000000000002,12653.166,2198.4,4,1670.7750565,1147.6716309480566,3,3,17,0,2,3,2,0
Festival Crowd Waste Risk,Public Safety,Ward_1,Kochi,Kerala,2020-02-08,2020,2,Saturday,Critical,Residential,Festival,Winter,505.0,126027.0,9.9312,76.2673,502.4,6.221385082701215,3.9864,11.744259383468137,5,1,2,1,6,0,1,0.8660254037844386,0.5000000000000001,1004.8,502.4,0.0,502.4,73.06556013568243,1004.8,502.4,4989.43488,2512.0,5,757.4258097600001,250.3516090584029,0,1,0,7,5,3,0,0
Weekend Market Congestion Risk,Public Safety,Ward_35,Pune,Maharashtra,2019-07-13,2019,7,Saturday,High,Temple,Festival,Summer,393.0,534536.0,18.5204,73.8567,410.9,6.020780601442035,0.7687,13.189156230624828,5,1,0,3,28,0,0,-0.4999999999999997,-0.8660254037844388,0.0,410.9,0.0,0.0,79.40901598273432,2876.3,1232.6999999999998,7610.032359999999,1643.6,4,1367.85562668,1297.73245933479,4,1,28,13,7,4,0,1
Summer Water Service Risk,Public Safety,Ward_16,Panaji,Goa,2021-04-19,2021,4,Monday,Medium,Temple,No_Event,Summer,209.0,448700.0,15.4909,73.8278,210.8,5.355642433167306,0.4698,13.014112020622166,0,0,0,2,16,0,0,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0,0.0,69.69893056763678,843.2,421.6,3265.48172,1264.8000000000002,6,1143.6590670199998,2118.5080264400376,2,1,7,10,1,4,1,3
Festival Crowd Waste Risk,Public Safety,Ward_34,Panaji,Goa,2021-07-31,2021,7,Saturday,Critical,Event Ground,No_Event,Summer,587.0,335305.0,15.4909,73.8278,583.0,6.369900982828227,1.7387,12.72279882671712,5,1,0,3,30,0,0,-0.4999999999999997,-0.8660254037844388,0.0,583.0,0.0,0.0,81.0429687506312,4081.0,1749.0,9031.1947,3498.0,6,1143.6590670199998,574.152397260274,0,1,27,10,1,1,1,0
Tourist Season Sanitation Risk,Public Safety,Ward_1,Kolkata,West Bengal,2021-10-17,2021,10,Sunday,High,Event Ground,Festival,Monsoon,323.0,693048.0,22.5726,88.3639,315.6,5.757639147446912,0.4554,13.44885598274312,6,1,1,4,41,1,0,-0.8660254037844386,0.5000000000000001,315.6,315.6,315.6,0.0,77.4336596946174,3156.0,1262.4,7123.912560000001,1893.6,6,1994.60296914,2189.033480732786,3,1,0,8,12,1,0,1
Festival Crowd Waste Risk,Water Supply,Ward_31,Panaji,Goa,2023-08-15,2023,8,Tuesday,High,Event Ground,Tourist,Monsoon,308.0,210628.0,15.4909,73.8278,304.4,5.721622392784532,1.4452,12.257853571006358,1,0,1,3,33,1,0,-0.8660254037844384,-0.5000000000000004,304.4,0.0,304.4,0.0,70.13480947934382,2435.2,913.2,4715.42996,2435.2,8,1143.6590670199998,689.6791093647676,0,5,24,10,1,1,3,1
Weekend Market Congestion Risk,Water Supply,Ward_45,Ahmedabad,Gujarat,2019-03-03,2019,3,Sunday,Medium,Residential,Weekend,Summer,280.0,463178.0,23.0225,72.5714,275.3,5.621487231929371,0.5944,13.045868867425614,6,1,0,1,9,1,1,1.0,6.123233995736766e-17,0.0,275.3,275.3,275.3,73.33718526765797,825.9000000000001,275.3,6338.09425,1101.2,4,1670.7750565,1676.3590300398118,4,5,39,0,2,3,4,3
Summer Water Service Risk,Water Supply,Ward_34,Ahmedabad,Gujarat,2020-05-11,2020,5,Monday,Critical,Event Ground,Weekend,Winter,540.0,527594.0,23.0225,72.5714,542.0,6.297109319933935,1.0273,13.176084222903969,0,0,2,2,20,0,0,0.4999999999999999,-0.8660254037844387,1084.0,0.0,0.0,0.0,82.97124276028306,2710.0,1084.0,12478.195,2710.0,5,1670.7750565,971.6279926335176,2,5,27,0,2,1,4,0
Tourist Season Sanitation Risk,Water Supply,Ward_23,Kolkata,West Bengal,2023-08-12,2023,8,Saturday,Low,Residential,Public Event,Summer,121.0,97304.0,22.5726,88.3639,122.9,4.819474788635096,1.2631,11.485605654315265,5,1,0,3,32,1,0,-0.8660254037844384,-0.5000000000000004,0.0,122.9,122.9,0.0,55.35458688317713,983.2,368.7000000000001,2774.1725400000005,983.2,8,1994.60296914,785.3430185633575,3,5,15,8,12,3,2,2
Public Event & Gathering Risk,Sanitation,Ward_37,Shimla,Himachal Pradesh,2016-05-28,2016,5,Saturday,Low,Temple,Weekend,Winter,123.0,791763.0,31.1048,77.1734,123.0,4.820281565605037,0.1553,13.58201864659378,5,1,2,2,21,0,0,0.4999999999999999,-0.8660254037844387,246.0,123.0,0.0,0.0,65.46915410587988,615.0,246.0,3825.8904,123.0,1,2400.46317232,6385.185483870968,1,2,30,14,3,4,4,2
Festival Crowd Waste Risk,Public Safety,Ward_5,Kolkata,West Bengal,2024-02-25,2024,2,Sunday,Critical,Commercial,No_Event,Winter,449.0,479887.0,22.5726,88.3639,454.2,6.120736882812121,0.9465,13.081308022324285,6,1,2,1,8,0,1,0.8660254037844386,0.5000000000000001,908.4,454.2,0.0,454.2,80.06724448766633,908.4,454.2,10252.47492,4087.8,9,1994.60296914,1054.2333040421793,0,1,44,8,12,0,1,0
Summer Water Service Risk,Traffic,Ward_28,Panaji,Goa,2021-09-13,2021,9,Monday,High,Market,Weekend,Winter,348.0,350272.0,15.4909,73.8278,362.3,5.895228939227156,1.0343,12.766468129423687,0,0,2,3,37,1,0,-1.0,-1.8369701987210294e-16,724.6,0.0,362.3,0.0,75.2612523682997,3260.7000000000003,1086.9,5612.35307,2173.8,6,1143.6590670199998,964.1398293421414,2,4,20,10,1,2,4,1
Public Event & Gathering Risk,Crowd Management,Ward_48,Shimla,Himachal Pradesh,2022-10-13,2022,10,Thursday,Medium,Residential,Public Event,Summer,178.0,530517.0,31.1048,77.1734,189.4,5.249127122357265,0.357,13.181609166715036,3,0,0,4,41,1,0,-0.8660254037844386,0.5000000000000001,0.0,0.0,189.4,0.0,69.19194219331703,1894.0,757.6,5891.24912,1325.8,7,2400.46317232,2786.328781512605,1,0,42,14,3,3,2,3
Public Event & Gathering Risk,Solid Waste,Ward_48,Shimla,Himachal Pradesh,2017-02-02,2017,2,Thursday,Critical,Tourist,Public Event,Monsoon,501.0,195112.0,31.1048,77.1734,483.2,6.182498044503958,2.4765,12.181334156887512,3,0,1,1,5,0,1,0.8660254037844386,0.5000000000000001,483.2,0.0,0.0,483.2,75.31107460440631,966.4,483.2,15029.83936,966.4,2,2400.46317232,402.9574555968608,1,3,42,14,3,5,2,0
Public Event & Gathering Risk,Sanitation,Ward_25,Pathanamthitta,Kerala,2023-08-27,2023,8,Sunday,Low,Market,Tourist,Summer,85.0,105271.0,9.2648,76.787,54.4,4.014579593753238,0.5168,11.564302755829976,6,1,0,3,34,1,0,-0.8660254037844384,-0.5000000000000004,0.0,54.4,54.4,0.0,46.42581385953935,435.2,163.2,504.0051199999999,435.2,8,711.4161976,1900.1985559566788,1,2,17,11,5,2,3,2
Public Event & Gathering Risk,Solid Waste,Ward_47,Kolkata,West Bengal,2016-07-09,2016,7,Saturday,Critical,Market,Weekend,Summer,500.0,737614.0,22.5726,88.3639,511.2,6.238715173765425,0.693,13.51117728724334,5,1,0,3,27,0,0,-0.4999999999999997,-0.8660254037844388,0.0,511.2,0.0,0.0,84.29238675735981,3578.4,1533.6,11539.11312,511.2,1,1994.60296914,1440.0898086684888,1,3,41,8,12,2,4,0
Summer Water Service Risk,Water Supply,Ward_50,Thiruvananthapuram,Kerala,2019-12-26,2019,12,Thursday,Critical,Temple,Festival,Summer,543.0,463565.0,8.5241,76.9366,526.6,6.268338420843159,1.136,13.046704048672874,3,0,0,4,52,1,1,-2.4492935982947064e-16,1.0,0.0,0.0,526.6,526.6,81.78115625366618,6319.200000000001,2106.4,4488.7910600000005,2106.4,4,655.81527206,878.6296436694465,2,5,45,15,5,4,0,0
Tourist Season Sanitation Risk,Crowd Management,Ward_46,Kolkata,West Bengal,2024-11-03,2024,11,Sunday,High,Commercial,Weekend,Monsoon,401.0,746510.0,22.5726,88.3639,398.3,5.989713014069176,0.5335,13.523165631284831,6,1,1,4,44,1,1,-0.5000000000000004,0.8660254037844384,398.3,398.3,398.3,398.3,80.99988117311977,4381.3,1593.2,8990.666580000001,3584.7000000000003,9,1994.60296914,1869.5467067367888,3,0,40,8,12,0,4,1
Weekend Market Congestion Risk,Crowd Management,Ward_22,Pune,Maharashtra,2018-10-25,2018,10,Thursday,High,Residential,Festival,Monsoon,392.0,394578.0,18.5204,73.8567,378.0,5.937536205082426,0.958,12.885574652705438,3,0,1,4,43,1,0,-0.8660254037844386,0.5000000000000001,378.0,0.0,378.0,0.0,76.50856602373095,3780.0,1512.0,7000.7112,1134.0,3,1367.85562668,1041.1029023746703,4,0,14,13,7,3,0,1
Public Event & Gathering Risk,Water Supply,Ward_1,Indore,Madhya Pradesh,2019-03-11,2019,3,Monday,High,Market,No_Event,Summer,346.0,546113.0,22.7196,75.8577,324.4,5.785055194784937,0.594,13.210583024141982,0,0,0,1,11,1,1,1.0,6.123233995736766e-17,0.0,0.0,324.4,324.4,76.42395194995028,973.2,324.4,7370.23824,1297.6,4,1723.4566009199998,1678.282114320836,1,5,0,5,6,2,1,1
Summer Water Service Risk,Public Safety,Ward_17,Shimla,Himachal Pradesh,2016-04-13,2016,4,Wednesday,Medium,Event Ground,Weekend,Monsoon,236.0,60323.0,31.1048,77.1734,242.5,5.495116942522644,4.02,11.007485313480576,2,0,1,2,15,0,0,0.8660254037844387,-0.4999999999999998,242.5,0.0,0.0,0.0,60.48741904067629,970.0,485.0,7542.914000000001,242.5,1,2400.46317232,247.73305954825463,2,1,8,14,3,1,4,3
Festival Crowd Waste Risk,Traffic,Ward_20,Chennai,Tamil Nadu,2025-01-06,2025,1,Monday,High,Residential,Tourist,Summer,412.0,101593.0,13.0827,80.2707,421.1,6.045242252788453,4.145,11.528739757264589,0,0,0,1,2,1,1,0.4999999999999999,0.8660254037844387,0.0,0.0,421.1,421.1,69.69402470201798,421.1,421.1,5509.124970000001,4211.0,10,1050.1574868900002,240.6846718787017,0,4,12,2,9,3,3,1
Festival Crowd Waste Risk,Solid Waste,Ward_18,Ahmedabad,Gujarat,2016-03-01,2016,3,Tuesday,Critical,Event Ground,Public Event,Monsoon,570.0,749245.0,23.0225,72.5714,563.1,6.33523154074593,0.7516,13.526822646492654,1,0,1,1,9,1,1,1.0,6.123233995736766e-17,563.1,0.0,563.1,563.1,85.6955534761366,1689.3000000000002,563.1,12963.96975,563.1,1,1670.7750565,1328.21308278674,0,3,9,0,2,1,2,0
Public Event & Gathering Risk,Public Safety,Ward_48,Kochi,Kerala,2025-01-11,2025,1,Saturday,Critical,Market,Tourist,Winter,546.0,661089.0,9.9312,76.2673,514.9,6.245912948250604,0.7789,13.40164526690262,5,1,2,1,2,1,1,0.4999999999999999,0.8660254037844387,1029.8,514.9,514.9,514.9,83.7055097004085,514.9,514.9,5113.57488,5149.0,10,757.4258097600001,1281.4285714285716,1,1,42,7,5,2,3,0
Public Event & Gathering Risk,Crowd Management,Ward_31,Pune,Maharashtra,2021-04-21,2021,4,Wednesday,Medium,Market,Public Event,Summer,271.0,471437.0,18.5204,73.8567,264.4,5.581238121898107,0.5608,13.063542877181398,2,0,0,2,16,0,0,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0,0.0,72.91074351317529,1057.6,528.8,4896.79376,1586.4,6,1367.85562668,1776.3262999246422,1,0,24,13,7,2,2,3
Summer Water Service Risk,Solid Waste,Ward_34,Bengaluru,Karnataka,2016-03-30,2016,3,Wednesday,Critical,Event Ground,Tourist,Winter,485.0,324503.0,12.9716,77.5946,489.7,6.195832943095858,1.5091,12.690053141706704,2,0,2,1,13,1,1,1.0,6.123233995736766e-17,979.4,0.0,489.7,489.7,78.62544930502348,1469.1,489.7,6352.1925200000005,489.7,1,1006.52611336,661.3062971265539,2,3,27,1,4,1,3,0
